                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.3776,                 4.0164,                 2.4217,                0.74821,                0.02483,                0.01184,                0.00619,                 2.1626,                 3.9148,                 2.1145,               0.068791,              0.0019921,              0.0019921
                      1,                 2.0427,                 3.6187,                 1.8295,                0.19544,                0.16909,                0.03536,                 0.0153,                 1.9124,                 3.3357,                 1.7077,               0.037443,              0.0039777,              0.0039777
                      2,                  1.897,                 3.4341,                 1.6822,                0.01202,                0.63913,                0.04193,                0.01991,                 1.7565,                 3.4725,                 1.6287,              0.0060812,              0.0059489,              0.0059489
                      3,                 1.8328,                 3.3727,                 1.6114,                0.35151,                0.08466,                 0.0473,                0.02492,                 1.7113,                 3.2527,                 1.5463,              0.0059352,              0.0059352,              0.0059352
                      4,                  1.781,                 3.2759,                 1.5643,                0.27925,                0.15691,                0.05536,                0.03037,                 1.6862,                 3.1506,                 1.4843,              0.0059352,              0.0059352,              0.0059352
                      5,                 1.7234,                 3.2429,                 1.5349,                0.92911,                0.03374,                0.06536,                0.03724,                 1.6335,                 3.1039,                 1.4627,              0.0059136,              0.0059136,              0.0059136
                      6,                 1.6986,                 3.1678,                 1.5045,                0.48862,                0.15482,                0.07237,                0.04047,                 1.5864,                 3.1077,                 1.4405,               0.005892,               0.005892,               0.005892
                      7,                 1.6574,                 3.1166,                 1.4752,                0.61965,                0.09638,                0.07465,                 0.0424,                 1.5564,                 3.0276,                 1.4239,              0.0058704,              0.0058704,              0.0058704
                      8,                 1.6314,                 3.0886,                 1.4612,                0.33394,                0.10938,                0.06977,                0.03935,                 1.5489,                 3.0728,                 1.4072,              0.0058488,              0.0058488,              0.0058488
                      9,                  1.608,                 3.0593,                 1.4457,                0.36435,                0.13183,                0.09197,                0.04911,                 1.5709,                 2.8631,                 1.4102,              0.0058272,              0.0058272,              0.0058272
                     10,                 1.6033,                 3.0116,                 1.4363,                0.39022,                0.17079,                0.09359,                0.05743,                 1.5382,                 2.8833,                 1.4078,              0.0058056,              0.0058056,              0.0058056
                     11,                 1.5841,                 2.9897,                 1.4168,                0.59558,                0.14562,                0.09765,                0.05436,                 1.5008,                 2.8234,                 1.3722,               0.005784,               0.005784,               0.005784
                     12,                 1.5676,                 2.9502,                 1.4152,                0.35958,                 0.1875,                0.10581,                0.05857,                 1.4826,                 2.7748,                 1.3689,              0.0057624,              0.0057624,              0.0057624
                     13,                 1.5579,                 2.9464,                 1.4061,                0.50646,                0.18598,                0.10586,                0.05778,                 1.4819,                 2.7063,                 1.3761,              0.0057408,              0.0057408,              0.0057408
                     14,                 1.5439,                  2.906,                 1.4051,                0.47953,                0.13408,                0.10042,                0.05733,                 1.4661,                 2.7477,                 1.3645,              0.0057192,              0.0057192,              0.0057192
                     15,                 1.5174,                 2.8798,                 1.3825,                0.59515,                0.20813,                0.11654,                0.07034,                 1.4385,                 2.6658,                 1.3321,              0.0056976,              0.0056976,              0.0056976
                     16,                 1.5105,                 2.8711,                 1.3775,                0.51319,                0.18641,                0.09986,                0.05517,                 1.4569,                 2.8098,                 1.3091,               0.005676,               0.005676,               0.005676
                     17,                 1.5095,                 2.8742,                 1.3791,                 0.5955,                0.16578,                 0.1256,                0.07466,                 1.4474,                 2.7005,                 1.3521,              0.0056544,              0.0056544,              0.0056544
                     18,                 1.4851,                 2.8295,                 1.3652,                 0.2746,                0.24047,                0.11068,                0.05803,                 1.4384,                 2.6974,                 1.3463,              0.0056328,              0.0056328,              0.0056328
                     19,                 1.4884,                 2.8169,                  1.363,                  0.578,                0.15574,                0.12674,                0.07606,                 1.3961,                  2.674,                 1.3079,              0.0056112,              0.0056112,              0.0056112
                     20,                 1.4786,                 2.8135,                 1.3665,                0.44983,                0.18921,                0.12871,                0.07576,                 1.4186,                 2.6028,                 1.3275,              0.0055896,              0.0055896,              0.0055896
                     21,                 1.4698,                 2.8056,                 1.3539,                0.37346,                0.20691,                0.14283,                0.08493,                 1.4215,                 2.6298,                 1.3178,               0.005568,               0.005568,               0.005568
