                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.001,                 1.6955,                 1.8514,                0.53073,                0.92339,                0.72345,                0.49663,                 1.1226,                 1.1465,                 2.3108,               0.068692,              0.0019984,              0.0019984
                      1,                0.61736,                 1.0697,                  1.342,                0.52887,                0.84141,                0.71184,                0.59768,                0.67691,                 1.0232,                 1.1769,               0.037307,               0.003947,               0.003947
                      2,                0.54103,                0.94004,                 1.2857,                0.62219,                0.91598,                0.77542,                0.68196,                0.52683,                  0.771,                 1.0274,              0.0058707,              0.0058442,              0.0058442
                      3,                0.50165,                0.88354,                 1.2551,                0.46573,                0.81655,                0.74934,                0.65795,                0.53489,                0.98766,                 1.0384,              0.0057686,              0.0057686,              0.0057686
                      4,                0.47635,                0.82968,                 1.2339,                0.71058,                0.89388,                0.75272,                0.63395,                0.75152,                  0.918,                 1.2231,              0.0057686,              0.0057686,              0.0057686
                      5,                0.45279,                0.79819,                 1.2169,                 0.7319,                0.86274,                0.79234,                0.68813,                 0.6196,                0.78397,                 1.1108,              0.0056914,              0.0056914,              0.0056914
                      6,                0.44478,                0.76936,                 1.2128,                0.68359,                 0.8995,                0.81535,                 0.7142,                0.61947,                 0.7692,                 1.1904,              0.0056143,              0.0056143,              0.0056143
                      7,                 0.4357,                 0.7538,                 1.2037,                0.73256,                0.89583,                  0.846,                0.72469,                0.57742,                0.71789,                0.98785,              0.0055371,              0.0055371,              0.0055371
                      8,                0.42527,                0.72271,                  1.194,                0.80707,                0.88616,                0.88455,                0.77451,                0.56209,                0.64235,                 1.0196,                0.00546,                0.00546,                0.00546
                      9,                0.41395,                0.70606,                 1.1895,                0.86809,                 0.8041,                0.89751,                0.76574,                0.60868,                 0.6687,                 1.0486,              0.0053829,              0.0053829,              0.0053829
                     10,                0.39944,                0.68076,                 1.1776,                0.85929,                0.85681,                0.89847,                  0.751,                0.57943,                0.62477,                0.99606,              0.0053057,              0.0053057,              0.0053057
                     11,                0.40628,                 0.6754,                 1.1794,                  0.832,                0.86887,                0.88913,                0.78114,                0.54664,                0.60247,                0.96222,              0.0052286,              0.0052286,              0.0052286
                     12,                0.39683,                 0.6652,                 1.1754,                0.87867,                0.83988,                 0.9043,                0.79423,                0.57989,                0.65551,                0.97754,              0.0051514,              0.0051514,              0.0051514
                     13,                0.39038,                0.64878,                 1.1681,                0.86617,                0.89246,                0.92665,                0.80935,                0.64181,                0.63543,                 1.0591,              0.0050743,              0.0050743,              0.0050743
                     14,                0.39188,                0.64129,                 1.1673,                 0.8551,                0.87866,                0.92146,                0.82032,                0.56745,                0.68766,                0.96787,              0.0049971,              0.0049971,              0.0049971
                     15,                0.38336,                 0.6336,                 1.1621,                0.89797,                 0.8372,                 0.9136,                 0.8188,                 0.5923,                0.71538,                0.99415,                0.00492,                0.00492,                0.00492
                     16,                0.37765,                0.62387,                 1.1561,                0.89341,                0.88599,                0.93669,                0.84525,                 0.5241,                0.56082,                0.91422,              0.0048429,              0.0048429,              0.0048429
                     17,                0.37646,                0.60834,                  1.155,                0.85088,                0.88865,                0.93195,                0.83636,                0.55638,                0.61824,                0.96236,              0.0047657,              0.0047657,              0.0047657
                     18,                0.37598,                 0.6096,                 1.1563,                0.90923,                0.85808,                0.91916,                0.83232,                0.52253,                0.61185,                0.93694,              0.0046886,              0.0046886,              0.0046886
                     19,                0.37444,                0.61332,                 1.1517,                 0.8827,                0.87881,                0.91856,                0.83563,                0.52513,                0.61563,                 0.9347,              0.0046114,              0.0046114,              0.0046114
                     20,                0.36847,                 0.5978,                 1.1502,                0.88804,                0.86654,                0.93341,                0.83021,                0.60863,                0.66337,                 0.9696,              0.0045343,              0.0045343,              0.0045343
                     21,                 0.3682,                0.59081,                 1.1513,                0.91909,                 0.8623,                0.93865,                0.84058,                 0.5656,                0.61763,                0.94267,              0.0044571,              0.0044571,              0.0044571
                     22,                0.36387,                0.58907,                 1.1456,                0.89695,                0.88365,                0.92819,                0.83562,                0.55807,                0.64023,                0.97743,                0.00438,                0.00438,                0.00438
                     23,                0.35641,                0.56989,                 1.1401,                0.91163,                0.90524,                0.93575,                0.83556,                0.56554,                0.60137,                0.96778,              0.0043029,              0.0043029,              0.0043029
                     24,                0.35542,                0.56559,                  1.141,                0.91177,                0.86905,                0.94339,                0.85703,                0.53387,                 0.5928,                0.92297,              0.0042257,              0.0042257,              0.0042257
